,0,1,2,3,4,5,6,7
175,676.0,15.277777777777777,0.16,0.53,2.48,2.5,4,0.8597488779954907
176,685.0,16.11111111111111,0.76,0.68,2.5,1.86,4,1.2349807091307297
177,687.0,33.333333333333336,4.0,0.68,1.31,2.5,4,1.7150363359357716
178,692.0,14.444444444444445,0.4,0.83,2.5,1.53,4,1.4917976595302536
179,697.0,33.333333333333336,4.0,0.71,1.46,1.5,4,3.071054852216054
180,698.0,33.333333333333336,3.79,0.8,1.1,2.5,4,1.019042257395406
181,699.0,24.444444444444443,3.67,0.95,2.5,1.5,4,1.378692790031812
182,710.0,13.61111111111111,2.08,0.95,2.5,2.46,4,1.603695223740452
183,711.0,19.444444444444443,2.56,1.1,1.79,2.5,4,1.7642031113391043
184,712.0,16.944444444444443,1.42,0.86,0.8,2.5,4,2.0310225616494204
185,724.0,33.333333333333336,0.43,1.13,2.12,2.5,4,1.4297330533735984
186,734.0,23.61111111111111,4.0,0.8,0.8,1.98,4,0.7893251094223266
187,740.0,33.333333333333336,3.88,0.71,1.07,1.53,4,1.2505977127585677
188,741.0,16.11111111111111,1.72,0.53,1.97,2.34,4,0.8744663923123872
189,742.0,33.333333333333336,1.45,0.74,2.5,1.95,4,0.7737245810233342
190,743.0,13.61111111111111,1.2400000000000002,0.62,1.19,2.13,4,1.165378053241163
191,744.0,18.61111111111111,1.42,0.89,1.1,2.16,4,1.1500783021403802
192,748.0,16.11111111111111,0.16,0.86,1.82,1.53,4,0.7944015801225044
193,753.0,33.333333333333336,3.46,0.56,2.12,2.5,4,0.8241916676040195
194,757.0,33.333333333333336,4.0,0.56,1.28,1.5,4,0.9425421499533089
195,767.0,18.61111111111111,2.35,0.89,0.83,1.92,4,2.4305698873516706
196,770.0,19.444444444444443,3.43,0.8,0.8,1.86,4,1.3325382318004595
197,774.0,32.77777777777778,4.0,0.62,0.86,1.53,4,1.125292903182286
198,778.0,32.77777777777778,4.0,0.5,0.86,2.5,4,0.5147050476715085
199,783.0,17.77777777777778,1.15,1.19,1.79,2.5,4,2.0983257104105113
200,785.0,33.333333333333336,3.91,0.62,0.8,2.5,4,2.3789962674194736
201,787.0,17.77777777777778,2.32,0.68,2.5,2.5,4,0.9341292194673015
202,793.0,21.944444444444443,4.0,0.59,0.8,2.5,4,0.9411365413191595
203,797.0,33.333333333333336,4.0,0.77,0.95,1.89,4,1.5959269637045748
204,799.0,30.27777777777778,4.0,0.71,2.5,2.5,4,0.6734525317105238
205,800.0,33.333333333333336,4.0,0.89,2.18,2.5,4,1.2051123018379428
206,802.0,16.944444444444443,0.07,1.22,2.48,2.4,4,2.1575335720779725
207,808.0,15.277777777777777,0.31,0.65,0.89,2.25,4,0.8374722818459375
208,809.0,33.333333333333336,3.91,0.71,1.13,2.37,4,0.7117681509551808
209,810.0,17.77777777777778,0.67,1.01,0.86,1.53,4,0.6755241111235399
210,821.0,33.333333333333336,4.0,0.68,2.5,2.5,4,0.8878813490930275
211,827.0,18.61111111111111,0.28,1.1,2.5,1.8,4,1.2582309336230226
212,830.0,18.61111111111111,4.0,0.71,0.86,2.5,4,0.97154762450853
213,833.0,33.333333333333336,3.67,0.98,1.13,2.5,4,1.005326083567686
214,840.0,33.333333333333336,0.01,1.1,2.5,1.68,4,0.7855454604559668
215,841.0,33.333333333333336,4.0,0.95,0.8,2.5,4,0.5735599318324338
216,843.0,31.944444444444443,2.41,0.65,0.86,2.5,4,0.6911225363168778
217,847.0,15.277777777777777,0.37,0.86,1.76,1.8,4,1.199836367837693
218,852.0,33.333333333333336,1.81,0.8,2.5,1.59,4,3.0457175682288717
219,856.0,16.11111111111111,4.0,0.65,2.3,1.5,4,0.7633745018080795
220,859.0,16.11111111111111,2.29,0.65,1.58,2.5,4,1.7876439514148856
221,861.0,33.333333333333336,4.0,1.25,0.83,1.5,4,0.9192789429942927
222,864.0,33.333333333333336,2.56,0.65,2.5,2.5,4,0.8747411097673754
223,865.0,33.333333333333336,2.1100000000000003,0.83,2.5,1.53,4,1.678436429926845
224,870.0,15.277777777777777,1.0000000000000002,0.65,1.7,2.5,4,0.9329359586804535
225,871.0,19.444444444444443,1.36,1.04,2.45,1.62,4,0.6933137512634684
226,873.0,21.944444444444443,2.38,1.01,2.5,1.59,4,1.3289093855996823
227,874.0,18.61111111111111,2.1100000000000003,0.98,1.04,1.59,4,1.8180099137871506
228,875.0,16.944444444444443,0.94,0.95,0.95,1.68,4,1.9884037420438134
229,876.0,21.944444444444443,4.0,0.83,0.8,2.5,4,1.6913064470481627
230,883.0,17.77777777777778,1.9,0.65,0.83,2.31,4,1.159266282984448
231,884.0,15.277777777777777,0.13,0.74,2.45,2.5,4,0.4800273646638261
232,885.0,16.11111111111111,4.0,0.56,0.86,2.5,4,1.0014811173296023
233,887.0,14.444444444444445,3.46,0.5,0.8,2.5,4,1.017317522342118
234,889.0,33.333333333333336,4.0,0.98,2.5,1.56,4,2.585839239383402
235,891.0,13.61111111111111,0.1,0.65,2.12,2.5,4,1.5473903418179078
236,894.0,15.277777777777777,2.74,0.5,0.98,2.5,4,2.7152368197703622
237,911.0,16.11111111111111,0.19,0.95,0.8,2.46,4,1.2145879598613432
238,912.0,13.61111111111111,0.64,0.89,0.86,2.28,4,1.128535612012537
239,919.0,21.11111111111111,3.07,0.53,1.49,2.5,4,0.940110338123733
240,921.0,15.277777777777777,0.58,0.5,2.5,2.5,4,1.825477595191329
241,923.0,14.444444444444445,0.91,0.56,0.89,2.5,4,1.304388583296068
242,929.0,13.61111111111111,4.0,0.62,1.49,2.5,4,0.6689937743763906
243,932.0,16.944444444444443,1.06,0.83,2.42,2.1,4,1.396132074504656
244,933.0,31.944444444444443,4.0,0.65,0.8,2.5,4,1.0090153273560383
245,936.0,10.277777777777777,4.0,0.5,0.83,2.5,4,1.4226053140183783
246,938.0,13.61111111111111,0.82,1.1,0.8,2.5,4,2.215203418071745
247,942.0,21.11111111111111,1.36,0.95,0.8,2.4,4,0.752291335084188
248,943.0,20.27777777777778,4.0,0.89,0.8,1.95,4,0.34487977027526723
249,946.0,33.333333333333336,4.0,1.16,2.42,1.5,4,2.400172452637765
250,953.0,14.444444444444445,2.47,0.8,0.89,1.53,4,1.015776993877834
251,955.0,14.444444444444445,4.0,0.74,0.8,2.5,4,1.9973004101973115
252,972.0,31.11111111111111,4.0,0.92,0.8,2.5,4,2.451371672212874
253,982.0,33.333333333333336,2.95,1.34,0.95,2.5,4,1.310981948518566
254,999.0,20.27777777777778,4.0,0.65,0.92,1.5,4,2.3021321937359125
255,1000.0,33.333333333333336,3.43,0.92,0.83,2.5,4,0.8911954713303119
256,1001.0,16.944444444444443,2.32,0.74,1.04,2.5,4,1.1220542708845536
257,1012.0,16.944444444444443,0.82,0.98,2.5,2.5,4,1.9125614852952055
258,1024.0,33.333333333333336,4.0,0.74,0.95,2.5,4,1.2235828004384444
259,1048.0,16.11111111111111,4.0,0.56,0.83,2.5,4,0.7164841244864276
260,1050.0,23.61111111111111,4.0,0.74,0.8,2.5,4,0.8944851720298828
261,1061.0,10.277777777777777,3.88,0.77,0.8,2.5,4,0.4139612904875385
262,1096.0,15.277777777777777,0.67,0.62,2.3,1.95,4,1.1168076687150652
263,1109.0,33.333333333333336,4.0,0.92,1.25,1.53,4,2.025345822737002
264,1110.0,16.944444444444443,0.16,0.86,0.98,2.5,4,1.2666027432324491
265,1115.0,33.333333333333336,4.0,0.98,1.73,2.5,4,2.104091312907875
266,1127.0,19.444444444444443,4.0,0.74,0.8,2.5,4,1.2612105820420534
267,1130.0,10.277777777777777,0.04,0.98,2.5,1.59,4,2.1077673363949345
268,1146.0,33.333333333333336,4.0,0.83,0.8,2.5,4,1.3816709912721699
269,1147.0,19.444444444444443,4.0,0.71,0.83,2.5,4,1.3369234310827987
270,1157.0,13.61111111111111,0.13,1.07,2.0,1.92,4,1.4940840064153136
271,1158.0,16.11111111111111,2.56,0.68,1.79,2.5,4,0.9266776620298138
272,1159.0,33.333333333333336,4.0,0.86,0.8,1.5,4,2.203405050393231
273,1160.0,33.333333333333336,3.91,1.13,1.31,2.5,4,0.8089324247904014
274,1161.0,33.333333333333336,3.9700000000000006,1.22,0.95,2.5,4,2.405578941321875
275,1166.0,13.61111111111111,0.94,0.83,1.64,2.25,4,1.6562778152209308
276,1167.0,33.333333333333336,4.0,1.04,0.83,1.53,4,2.2378418544024132
277,1175.0,21.11111111111111,3.7,0.77,0.8,2.37,4,0.5022319354740081
278,1178.0,20.27777777777778,4.0,0.74,0.86,2.5,4,0.5486181104494847
279,1184.0,16.944444444444443,0.73,0.86,1.01,2.5,4,0.44989554986794167
280,1185.0,22.77777777777778,4.0,0.77,0.8,2.5,4,0.5932456687070929
281,1186.0,19.444444444444443,0.79,0.95,0.89,2.5,4,0.6158923073308133
282,1188.0,16.944444444444443,4.0,0.74,0.98,2.5,4,0.9019697354712217
283,1193.0,33.333333333333336,4.0,0.71,1.04,2.5,4,1.0767288395082502
284,1209.0,33.333333333333336,4.0,0.77,0.89,2.5,4,1.1652583527950444
285,1236.0,33.333333333333336,4.0,0.95,1.52,2.5,4,2.278605931481314
286,1243.0,18.61111111111111,4.0,0.74,0.83,2.5,4,1.537709912773193
287,1248.0,11.944444444444445,3.1,0.8,2.45,2.5,4,3.6814250824969847
288,1264.0,30.27777777777778,4.0,1.28,0.8,2.49,4,3.6085560101515743
289,1267.0,33.333333333333336,0.67,0.77,1.4,2.5,4,0.9951736399534545
290,1272.0,33.333333333333336,4.0,0.89,0.8,1.95,4,1.5004344227930575
291,1274.0,24.444444444444443,0.67,1.01,0.89,2.5,4,0.8399271554834771
292,1277.0,18.61111111111111,2.1100000000000003,0.53,1.22,1.59,4,1.2264327404906215
293,1287.0,20.27777777777778,1.9,0.65,0.92,1.92,4,1.799720630078145
294,1288.0,15.277777777777777,0.04,0.68,1.1,2.34,4,0.5912970864249476
295,1289.0,30.27777777777778,2.86,1.04,2.5,1.56,4,2.3810659954800757
296,1290.0,14.444444444444445,1.84,0.95,1.07,2.5,4,1.5443521933261113
297,1297.0,33.333333333333336,4.0,0.8,0.8,2.5,4,2.042042440857945
298,1298.0,21.944444444444443,4.0,0.59,0.8,2.5,4,1.5596677560800685
299,1300.0,16.11111111111111,4.0,0.56,0.92,1.62,4,2.9388007626341146
300,1310.0,33.333333333333336,0.1,1.13,2.5,2.5,4,1.1725055533866724
301,1312.0,33.333333333333336,4.0,0.53,1.79,2.5,4,1.9793197186262323
302,1313.0,13.61111111111111,1.12,0.53,1.25,1.95,4,1.5091206142956635
303,1314.0,16.944444444444443,1.27,0.95,1.58,2.5,4,0.561228168242762
304,1317.0,25.27777777777778,0.34,1.07,1.52,2.5,4,0.6159700719383017
305,1323.0,33.333333333333336,3.46,0.53,0.98,2.5,4,0.8278320263533063
306,1328.0,21.944444444444443,4.0,0.8,0.95,1.8,4,1.7192398684603258
307,1329.0,17.77777777777778,1.33,0.53,1.37,2.5,4,1.8617168179940804
308,1332.0,15.277777777777777,1.33,0.53,0.86,2.5,4,1.7893999383776957
309,1337.0,33.333333333333336,4.0,1.16,1.73,2.5,4,5.249517960173228
310,1338.0,12.777777777777777,1.96,0.74,0.92,2.5,4,2.216288412108412
311,1342.0,11.11111111111111,0.34,0.5,0.8,1.56,4,2.040048400288237
312,1349.0,26.944444444444443,3.1,0.68,0.8,2.5,4,1.721444978336094
313,1350.0,14.444444444444445,1.45,0.56,0.98,2.5,4,3.026524143667091
314,1357.0,16.944444444444443,0.49,0.53,1.34,1.5,4,2.6118769777891657
315,1358.0,21.11111111111111,1.39,0.53,0.83,2.5,4,1.0537979600844722
316,1359.0,33.333333333333336,3.82,0.65,0.8,1.53,4,0.9125358325318915
317,1360.0,33.333333333333336,3.43,0.62,0.8,2.5,4,1.2723394663049747
318,1361.0,14.444444444444445,0.43,0.59,1.07,1.86,4,0.837096103012003
319,1368.0,33.333333333333336,2.71,0.5,1.1,2.5,4,1.7191189975485486
320,1369.0,33.333333333333336,1.12,0.53,1.22,2.5,4,1.0975503260706392
321,1373.0,25.27777777777778,4.0,0.68,0.8,2.5,4,1.5292390574818218
322,1377.0,9.444444444444445,0.73,0.68,1.28,2.5,4,1.4027008954279099
323,1383.0,33.333333333333336,2.02,0.56,1.97,2.5,4,2.2850681158920207
324,1392.0,15.277777777777777,0.34,0.56,2.06,1.95,4,1.0976590516682132
325,1403.0,20.27777777777778,0.28,1.1,1.46,1.98,4,0.5235057766484992
326,1407.0,16.11111111111111,1.57,0.68,2.03,2.5,4,1.0756498525363867
327,1412.0,15.277777777777777,1.51,1.19,2.42,1.95,4,2.043493376941537
328,1425.0,20.27777777777778,0.94,0.5,2.45,1.56,4,1.160151547405788
329,1430.0,33.333333333333336,0.73,0.53,0.8,2.5,4,0.9633312383044156
330,1431.0,15.277777777777777,2.17,0.92,2.5,1.77,4,1.4330070435922901
331,1444.0,15.277777777777777,1.3,0.5,0.83,2.5,4,0.7109709807230744
332,1468.0,18.61111111111111,1.0000000000000002,1.07,0.8,2.5,4,1.904735861848299
333,1474.0,16.944444444444443,0.55,0.59,1.37,1.53,4,0.8783890611281924
334,1475.0,31.11111111111111,0.13,0.77,2.3,1.62,4,0.58100017879646
335,1476.0,29.444444444444443,2.38,0.5,0.8,2.5,4,0.8031077228241214
336,1483.0,33.333333333333336,4.0,0.83,2.27,2.5,4,0.9301228096994346
337,1488.0,16.944444444444443,0.7,0.77,2.45,2.07,4,1.773951359847337
338,1491.0,33.333333333333336,2.14,1.22,2.48,1.86,4,0.9778009855337917
